id_artigo,titulo,ano,api_abstract,topico,topico_prob
0,ANÁLISE CURRICULAR DO DOCENTE: UM OLHAR SOBRE INSTITUIÇÕES PÚBLICA E PRIVADA,2023,"O intuito deste trabalho é analisar o corpo docente de determinado curso graduação utilizando currículo da Plataforma Lattes. A metodologia consiste na definição das instituições e dos cursos a serem analisados, construção base dados, descriçãodos atributos do avaliados, análise currículos tratamento dados. Os resultados são apresentados partir estatística descritiva comparando os as instituições. São obtidos que corroboramcom utilização instrumento individual como Currículo Lattes, para grupo, indicando diferenças entre mesmo diferentes corpos docentes mesma instituição cursos. Este estudo apresenta capacidadeda com olhar no grupo/curso, servindo suporte obtenção informações auxiliam desenvolvimento políticas institucionais ensino, pesquisa extensão.",0,0.0
1,QUESTÕES DE GÊNERO NA EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA: ANÁLISE EM PROJETOS PEDAGÓGICOS CURRICULARES,2023,"O objetivo deste estudo é identificar a presença ou não das questões de gênero nos Projetos Pedagógicos Curriculares dos cursos Técnicos Integrados ao Ensino Médio ofertados no Instituto Federal Goiás Eixo Tecnológico Ambiente e Saúde. Nesta investigação foram identificados oito cursos, do total seis que se referem técnicos integrados ensino médio dois na Modalidade Educação Jovens Adultos. Na perspectiva da educação emancipadora, partir pressupostos teóricos compreendem formação humana pelo viés omnilateral, identifica-se os adotam forma incipiente as estas necessitam ser melhor integradas.",-1,0.0
2,ON EFFICIENT META-LEVEL FEATURES FOR EFFECTIVE TEXT CLASSIFICATION,2014,"This paper addresses the problem of automatically learning to classify texts by exploiting information derived from meta-level features (i.e., original bag-of-words representation). We propose new class distribution, entropy and within-class cohesion observed in k nearest neighbors a given test document x, as well distribution distances x these neighbors. The set proposed is capable transforming feature space into one, potentially smaller more informed. Experiments performed with several standard datasets demonstrate that effectiveness not only much superior than traditional bag-of-word representation but also other state-of-art previously literature. Moreover, meta-features can be computed about three times faster existing ones, making our proposal scalable. combination meta produce significant improvements when compared each used isolation.",22,0.0
3,G-KNN,2015,"In nowadays we observe that there is more data than can be effectively analyzed. Organizing this has become one of the biggest problems in Computer Science. Many algorithms have been proposed for purpose, highlighting those related to Data Mining area, specifically automatic document classification (ADC) algorithms. However, these are still a computational challenge because volume needs processed. We found literature some proposals parallelization on graphics processing units (GPUs) make feasible. Still, most available parallel solutions ignore specific ADC challenges, such as high dimensionality and heterogeneity representation documents. context, here present G-KNN, GPU-based version nearest neighbors algorithm (KNN), widely used our evaluation using five different collections, show G-KNN maintain same effectiveness while increasing efficiency by up 12x faster its sequential CPU 3x CPU-based implementation running with 6 threads. Moreover, much lower memory consumption, enabling use large datasets.",6,0.0
4,AN EFFICIENT AND SCALABLE METAFEATURE-BASED DOCUMENT CLASSIFICATION APPROACH BASED ON MASSIVELY PARALLEL COMPUTING,2015,"The unprecedented growth of available data nowadays has stimulated the development new methods for organizing and extracting useful knowledge from this immense amount data. Automatic Document Classification (ADC) is one such methods, that uses machine learning techniques to build models capable automatically associating documents well-defined semantic classes. ADC basis many important applications as language identification, sentiment analysis, recommender systems, spam filtering, among others. Recently, use meta-features been shown substantially improve effectiveness algorithms. In particular, make a combined local information (through kNN-based features) global category centroids) produced promising results. However, generation these very costly in terms both, memory consumption runtime since there need constantly call kNN algorithm. We take advantage current manycore GPU architecture present massively parallel version algorithm highly dimensional sparse datasets (which case ADC). Our experimental results show we can obtain speedup gains up 15x while reducing more than 5000x when compared state-of-the-art baseline. This opens possibility applying based classification large collections documents, would otherwise too much time or require an expensive computational platform.",-1,0.0
5,EXPLOITING NEW SENTIMENT-BASED META-LEVEL FEATURES FOR EFFECTIVE SENTIMENT ANALYSIS,2016,"In this paper we address the problem of automatically learning to classify sentiment short messages/reviews by exploiting information derived from meta-level features i.e., primarily original bag-of-words representation. We propose new especially designed for analysis messages such as: (i) distribution among k nearest neighbors a given test document x, (ii) distances x their and (iii) polarity these unsupervised lexical-based methods. Our approach is also capable neighborhood regarding (highly noisy) data obtained 1.6 million Twitter with emoticons. The set proposed transforming feature space into one, potentially smaller more informed. Experiments performed substantial number datasets (nineteen) demonstrate that effectiveness sentiment-based not only superior traditional bag-of-word representation (by up 16%) but in most cases state-of-art previously literature text classification tasks do take account some idiosyncrasies analysis. proposal largely best lexicon-based methods as well supervised combinations them. fact, one produce results all tested scenarios.",22,0.0
6,INCORPORATING RISK-SENSITIVENESS INTO FEATURE SELECTION FOR LEARNING TO RANK,2016,"Learning to Rank (L2R) is currently an essential task in basically all types of information systems given the huge and ever increasing amount data made available. While many solutions have been proposed improve L2R functions, relatively little attention has paid improving quality feature space. strategies usually rely on dense representations, which contain noisy or redundant features, cost learning process, without any benefits. Although selection (FS) can be applied reduce dimensionality noise, side effects such procedures neglected, as risk getting very poor predictions a few (but important) queries. In this paper we propose multi-objective FS that optimize both aspects at same time: ranking performance risk-sensitive evaluation. For this, approximate Pareto-optimal set for optimization new original application L2R. Our contributions include novel methods multiple, potentially conflicting, criteria. particular, one objectives (risk-sensitive evaluation) never optimized context before. experimental evaluation shows our select features are more effective (ranking performance) low-risk than those selected by other state-of-the-art methods.",-1,0.0
7,STACKING BAGGED AND BOOSTED FORESTS FOR EFFECTIVE AUTOMATED CLASSIFICATION,2017,"Random Forest (RF) is one of the most successful strategies for automated classification tasks. Motivated by RF success, recently proposed RF-based approaches leverage central idea aggregating a large number low-correlated trees, which are inherently parallelizable and provide exceptional generalization capabilities. In this context, work brings several new contributions to line research. First, we propose strategy (BERT) that applies boosting technique in bags extremely randomized trees. Second, empirically demonstrate strategy, as well BROOF LazyNN_RF classifiers do complement each other, motivating us stack them produce an even more effective classifier. Up our knowledge, first effectively combine three main ensemble strategies: stacking, bagging (the cornerstone RFs) boosting. Finally, exploit efficient unbiased stacking based on out-of-bag (OOB) samples considerably speedup very costly training process procedure. Our experiments datasets covering two high-dimensional noisy domains topic sentiment strong evidence favor benefits solutions. We show BERT among top performers vast majority analyzed cases, while retaining unique (explainability, parallelization, easiness parameterization). also only using OOB-based not significantly faster than (up six times) but much effective, with gains up 21% 17% MacroF1 MicroF1, respectively, over best base method, 5% 6% traditional methods, performing no worse complete methods at lower computational effort.",6,0.0
8,SEMANTICALLY-ENHANCED TOPIC MODELING,2018,"In this paper, we advance the state-of-the-art in topic modeling by means of design and development a novel (semi-formal) general framework. The contributions our solution include: (i) introduction new semantically-enhanced data representations for based on pooling, (ii) proposal extraction strategy - ASToC that solves difficulty representing topics information space. extensive experimentation evaluation, covering 12 datasets baselines, totalizing 108 tests, exceed (with few ties) almost 100 cases, with gains more than 50% against best baselines (achieving up to 80% some runner-ups). We provide qualitative quantitative statistical analyses why solutions work so well. Finally, show method is able improve document representation automatic text classification.",22,0.0
9,CLUWORDS,2019,"In this paper, we advance the state-of-the-art in topic modeling by means of a new document representation based on pre-trained word embeddings for non-probabilistic matrix factorization. Specifically, our strategy, called CluWords, exploits nearest words given embedding to generate meta-words capable enhancing representation, terms both, syntactic and semantic information. The novel contributions solution include: (i)the introduction data relationships derived from distances calculated within space (ii)the proposal TF-IDF-based particularly developed weight CluWords. extensive experimentation evaluation, covering 12 datasets 8 baselines, exceed (with few ties) almost cases, with gains more than 50% against best baselines (achieving up 80% some runner-ups). Finally, show that method is able improve task automatic text classification.",22,0.0
